 INDEX;LOCATOR;TYPE;C;NAME                          ;LAT   ;LON    ;ELEV;DD.MM.YYYY HH:mm;DIR;K; FF; FG;G1h;G10; FX;FX1;FFM;  TL;  TD;  T5;  TX;  TN; TX6; TN6; TX1; TN1; TN5;  TW;Tsfc;T-05;T-10;T-20;T-50;T-1m; RR6h;   QFE;   QFF; QNH;  AP;A;www;960;961;962;963;           MetarWX;W1;W2;     WWZ; LTNG; VIS;COV;N;L;HLC;   ClCmCh;LAYER1;LAYER2;LAYER3;LAYER4;CLG;     PIC;VCLOUD1;VCLOUD2;VCLOUD3;VCLOUD4;  VFOG;   RR;TR;RR10m; RR1h;hh;RR24h;WRTR;SNO;NEW;SR;GS;SS24;Sh;S10;GL24;DF24;LW24;GL1h;DF1h;LW1h;GL10;DF10;LW10;  HW;PW;DW1; HW1;P1;DW2; HW2;P2;  HS;PS;I;B;
036440;      /;SYNO;S;Fairford Royal Air Force Base ;N51 41;W001 47;  87;17.11.2015 06:00;250;/; 82;  /;  /;  /;  /;  /;  /; 122; 122;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;   /;/;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
165040;      /;SYNO;S;Porto Torres                  ;N40 50;E008 24;   8;17.11.2015 06:00;130;/; 26;  /;  /;  /;  /;  /;  /; 149; 137;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1022.9;   /;   1;2;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    0;   /;  /;  /; /; /;   /; /;  /;   0;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
170630;      /;SYNO;R;Sabiha Gokcen                 ;N40 53;E029 18;  99;17.11.2015 06:00; 30;/; 62; 87;  /;  /;  /;  /;  /; 110;  80;   /;   /; 107;   /;   /;   /;   /;  70;   /;   /;   /;   /;   /;   /;   /;    /;     /;1022.7;   /;  17;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;BKN;5;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 204; /;  /; 662;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
067910;      /;SYNO;S;Piz Corvatsch                 ;N46 25;E009 49;3302;17.11.2015 06:00;250;/; 98;  /;  /;  /;  /;  /;  /;  -9;-178;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  -1;0;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
067710;      /;SYNO;S;Stabio                        ;N45 50;E008 56; 352;17.11.2015 06:00;  0;/;  0;  /;  /;  /;  /;  /;  /;  35;  34;  37;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1021.8;   /;   0;0; 10;  /;  /;  /;  /;                BR; /; /;       /;    /;   /;OVC;8;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
067500;      /;SYNO;S;Guetsch ob Andermatt          ;N46 39;E008 37;2284;17.11.2015 06:00;150;/; 41;  /;  /;  /;  /;  /;  /;  35; -99;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  -1;8;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
066270;      /;SYNO;S;Chateau d´Oex                 ;N46 29;E007 08;1030;17.11.2015 06:00;320;/; 21;  /;  /;  /;  /;  /;  /;  35;   5;   7;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;   2;0;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
067400;      /;SYNO;S;Titlis                        ;N46 46;E008 26;3040;17.11.2015 06:00;250;/;135;  /;  /;  /;  /;  /;  /;  -4;-211;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  -3;8;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  1.1;12;    /;  0.2; /;  1.4;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
066080;      /;SYNO;S;Chaumont                      ;N47 03;E006 59;1136;17.11.2015 06:00;250;/; 38;  /;  /;  /;  /;  /;  /;  61;  32;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;   0;0;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;  75;OVC;8;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.1;12;    /;    0; /;  0.1;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085750;      /;SYNO;S;Braganca                      ;N41 48;W006 44; 692;17.11.2015 06:00; 40;/; 20;  /;  /;  /;  /;  /;  /;  60;  59;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1029.1;   /;   3;2;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.1;12;    /;    0; /;    /;   /;  0;  /; /; /;   /; /;  /; 631;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
